ASX code,Company name,Listing date,GICs industry group,Market Cap
PDL,PENDAL GROUP LIMITED,10/12/07,Diversified Financials,3103397490
PDN,PALADIN ENERGY LTD,29/3/94,Energy,1285323071
PDZ,PRAIRIE MINING LIMITED,6/9/93,Materials,50238120
PE1,PENGANA PRIVATE EQUITY TRUST,30/4/19,Not Applic,332513678
PEC,PERPETUAL RESOURCES LIMITED,28/2/13,Materials,66745088
PEK,PEAK RESOURCES LIMITED,29/11/06,Materials,151521423
PEN,PENINSULA ENERGY LIMITED,26/5/94,Energy,144422637
PET,PHOSLOCK ENVIRONMENTAL TECHNOLOGIES LIMITED,16/8/02,Commercial & Professional Services,N/A
PEX,PEEL MINING LIMITED,17/5/07,Materials,108705417
PF1,PATHFINDER RESOURCES LTD,4/11/20,Materials,18839653
PFG,PRIME FINANCIAL GROUP LIMITED,7/12/04,Diversified Financials,20508856
PFP,PROPEL FUNERAL PARTNERS LIMITED,23/11/17,Consumer Services,374797560
PFT,PURE FOODS TASMANIA LIMITED,19/12/05,"Food, Beverage & Tobacco",32259338
PG1,PEARL GLOBAL LIMITED,2/11/06,Commercial & Professional Services,16739964
PGC,PARAGON CARE LIMITED,15/10/99,Health Care Equipment & Services,99676161
PGD,PEREGRINE GOLD LTD,31/3/21,Materials,16522937
PGF,PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED,12/12/13,Not Applic,550374919
PGG,PARTNERS GROUP GLOBAL INCOME FUND,26/9/19,Not Applic,525500720
PGH,PACT GROUP HOLDINGS LTD,17/12/13,Materials,1245256814
PGL,PROSPA GROUP LIMITED.,11/6/19,Diversified Financials,185870165
PGM,PLATINA RESOURCES LIMITED,29/5/06,Materials,36488117
PGO,PACGOLD LIMITED,8/7/21,Materials,13328888
PGY,PILOT ENERGY LIMITED,20/4/06,Energy,N/A
PH2,PURE HYDROGEN CORPORATION LIMITED,12/3/13,Energy,56497655
PHL,PROPELL HOLDINGS LIMITED,14/4/21,Diversified Financials,11494819
PIA,PENGANA INTERNATIONAL EQUITIES LIMITED,19/3/04,Not Applic,344355098
PIC,PERPETUAL EQUITY INVESTMENT COMPANY LIMITED,18/12/14,Not Applic,492474522
PIL,PEPPERMINT INNOVATION LIMITED,29/5/08,Software & Services,25420688
PIQ,PROTEOMICS INTERNATIONAL LABORATORIES LTD,16/4/15,"Pharmaceuticals, Biotechnology & Life Sciences",104679846
PKD,PARKD LTD,6/12/17,Commercial & Professional Services,3807605
PKO,PEAKO LIMITED,2/12/09,Materials,9866275
PKS,PKS HOLDINGS LIMITED,6/6/19,Health Care Equipment & Services,96926902
PL8,PLATO INCOME MAXIMISER LIMITED.,5/5/17,Not Applic,541967951
PLL,PIEDMONT LITHIUM INC.,28/3/83,Materials,1442454770
PLS,PILBARA MINERALS LIMITED,19/9/07,Materials,4551401991
PLT,PLENTI GROUP LIMITED,23/9/20,Diversified Financials,251696061
PLY,PLAYSIDE STUDIOS LIMITED,17/12/20,Media & Entertainment,113623742
PMC,PLATINUM CAPITAL LIMITED,29/6/94,Not Applic,444123796
PME,PRO MEDICUS LIMITED,10/10/00,Health Care Equipment & Services,6070324186
PMV,PREMIER INVESTMENTS LIMITED,15/12/87,Retailing,4400531664
PNC,PIONEER CREDIT LIMITED,1/5/14,Diversified Financials,33538852
PNI,PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED,19/6/07,Diversified Financials,2357524142
PNL,PARINGA RESOURCES LIMITED,20/12/12,Energy,N/A
PNM,PACIFIC NICKEL MINES LIMITED,26/11/02,Materials,10744752
PNN,PEPINNINI MINERALS LIMITED,15/4/05,Materials,15465893
PNR,PANTORO LIMITED,21/5/87,Materials,309979714
PNV,POLYNOVO LIMITED,26/11/98,Health Care Equipment & Services,1388914892
PNX,PNX METALS LIMITED,12/2/08,Materials,32869742
PO3,PURIFLOH LIMITED,30/12/10,Utilities,40980547
POD,PODIUM MINERALS LIMITED,28/2/18,Materials,120556383
POL,POLYMETALS RESOURCES LTD,29/6/21,Class Pend,11518800
POS,POSEIDON NICKEL LIMITED,29/11/93,Materials,294988559
POW,PROTEAN ENERGY LIMITED,21/12/06,Capital Goods,5855517
PPC,PEET LIMITED,5/8/04,Real Estate,555795562
PPE,PEOPLE INFRASTRUCTURE LTD,22/11/17,Commercial & Professional Services,407633688
PPG,PRO-PAC PACKAGING LIMITED,27/4/05,Materials,150054848
PPH,PUSHPAY HOLDINGS LIMITED,12/10/16,Software & Services,1871783857
PPK,PPK GROUP LIMITED,21/12/94,Capital Goods,1317076018
PPL,PUREPROFILE LTD,29/7/15,Media & Entertainment,31741857
PPM,PEPPER MONEY LIMITED,25/5/21,Banks,1094369711
PPS,PRAEMIUM LIMITED,11/5/06,Software & Services,551790604
PPT,PERPETUAL LIMITED,24/6/64,Diversified Financials,2191083096
PPY,PAPYRUS AUSTRALIA LIMITED,15/4/05,Materials,9409635
PRL,PROVINCE RESOURCES LTD,9/2/94,Materials,155702374
PRM,PROMINENCE ENERGY NL,23/1/92,Energy,12964809
PRN,PERENTI GLOBAL LIMITED,6/1/94,Materials,591607986
PRO,PROPHECY INTERNATIONAL HOLDINGS LIMITED,22/4/98,Software & Services,33309086
PRS,PROSPECH LIMITED.,4/12/20,Materials,11478817
PRT,PRIME MEDIA GROUP LIMITED,30/8/84,Media & Entertainment,78761015
PRU,PERSEUS MINING LIMITED,22/9/04,Materials,1883372218
PRX,PRODIGY GOLD NL,21/8/86,Materials,23225104
PSA,PETSEC ENERGY LIMITED,1/12/80,Energy,N/A
PSC,PROSPECT RESOURCES LIMITED,4/12/09,Materials,102857110
PSI,PSC INSURANCE GROUP LIMITED,15/12/15,Insurance,1093059805
PSL,PATERSON RESOURCES LTD,18/10/06,Materials,15851819
PSQ,PACIFIC SMILES GROUP LIMITED,21/11/14,Health Care Equipment & Services,410125581
PTB,PTB GROUP LIMITED,18/12/06,Capital Goods,90314170
PTG,PROPTECH GROUP LIMITED,10/12/15,Software & Services,105581381
PTL,PENTAL LIMITED,29/8/00,Household & Personal Products,58587772
PTM,PLATINUM ASSET MANAGEMENT LIMITED,23/5/07,Diversified Financials,2546186426
PTR,PETRATHERM LTD,27/7/04,Materials,12531822
PTX,PRESCIENT THERAPEUTICS LIMITED,19/12/86,"Pharmaceuticals, Biotechnology & Life Sciences",141118792
PUA,PEAK MINERALS LIMITED,17/7/03,Materials,11679350
PUR,PURSUIT MINERALS LTD,10/9/08,Materials,59930905
PVE,PO VALLEY ENERGY LIMITED,14/12/04,Energy,30199303
PVL,POWERHOUSE VENTURES LIMITED,12/10/16,Diversified Financials,10665465
PVS,PIVOTAL SYSTEMS CORPORATION,2/7/18,Semiconductors & Semiconductor Equipment,164529603
PVW,PVW RESOURCES LIMITED,12/11/09,Materials,10662812
PWH,PWR HOLDINGS LIMITED,18/11/15,Automobiles & Components,690238643
PWN,PARKWAY MINERALS NL,13/5/11,Materials,N/A
PWNCA,PARKWAY MINERALS NL,13/5/11,Materials,N/A
PWR,PETER WARREN AUTOMOTIVE HOLDINGS LIMITED,27/4/21,Retailing,582943211
PX1,PLEXURE GROUP LIMITED,25/11/20,Software & Services,116208393
PXA,PEXA GROUP LIMITED,1/7/21,Real Estate,3050003554
PXS,PHARMAXIS LTD,10/11/03,"Pharmaceuticals, Biotechnology & Life Sciences",37592706
PXX,POLARX LIMITED,21/12/12,Materials,23527586
PYC,PYC THERAPEUTICS LIMITED,30/3/05,"Pharmaceuticals, Biotechnology & Life Sciences",477138915
PYG,PAYGROUP LIMITED,29/5/18,Software & Services,56353782
PYR,PAYRIGHT LIMITED,23/12/20,Diversified Financials,45441500
QAN,QANTAS AIRWAYS LIMITED,31/7/95,Transportation,8826689187
QBE,QBE INSURANCE GROUP LIMITED,28/6/73,Insurance,15769502871
QEM,QEM LIMITED,19/10/18,Materials,17000000
QFE,QUICKFEE LIMITED,11/7/19,Diversified Financials,49995279
QGL,QUANTUM GRAPHITE LIMITED,6/1/14,Materials,N/A
QHL,QUICKSTEP HOLDINGS LIMITED,17/10/05,Capital Goods,40111083
QIP,QANTM INTELLECTUAL PROPERTY LIMITED,31/8/16,Commercial & Professional Services,156468959
QML,QMINES LIMITED,6/5/21,Materials,38747129
QPM,QUEENSLAND PACIFIC METALS LIMITED,14/3/08,Materials,174267898
QRI,QUALITAS REAL ESTATE INCOME FUND,27/11/18,Not Applic,434474266
QTG,Q TECHNOLOGY GROUP LIMITED,2/12/87,Technology Hardware & Equipment,N/A
QTM,QUANTUM HEALTH GROUP LIMITED,30/8/93,Health Care Equipment & Services,64313573
QUB,QUBE HOLDINGS LIMITED,4/1/07,Transportation,5682741053
QUE,QUESTE COMMUNICATIONS LIMITED,11/11/98,Diversified Financials,1488978
QVE,QV EQUITIES LIMITED,22/8/14,Not Applic,237656501
QXR,QX RESOURCES LIMITED,17/2/11,Materials,9329072
R3D,R3D RESOURCES LIMITED,17/12/04,Media & Entertainment,N/A
RAC,RACE ONCOLOGY LTD,13/7/16,"Pharmaceuticals, Biotechnology & Life Sciences",511178984
RAG,RAGNAR METALS LIMITED,31/3/05,Materials,23404572
RAN,RANGE INTERNATIONAL LIMITED,22/7/16,Materials,5867829
RAP,RESAPP HEALTH LIMITED,12/1/05,Health Care Equipment & Services,36086277
RAS,RAGUSA MINERALS LTD,13/7/10,Diversified Financials,9470139
RBD,RESTAURANT BRANDS NEW ZEALAND LIMITED,28/9/17,Consumer Services,1540767759
RBL,REDBUBBLE LIMITED,16/5/16,Retailing,1004186218
RBR,RBR GROUP LIMITED,2/2/07,Materials,7691881
RBX,RESOURCE BASE LIMITED.,12/7/21,Materials,7410496
RCE,RECCE PHARMACEUTICALS LTD,15/1/16,"Pharmaceuticals, Biotechnology & Life Sciences",159875619
RCL,READCLOUD LIMITED,7/2/18,Software & Services,40227967
RCP,REDBANK COPPER LIMITED,22/12/93,Materials,35064250
RCR,RINCON RESOURCES LIMITED,21/12/20,Materials,16427762
RCT,REEF CASINO TRUST,11/2/94,Consumer Services,119522486
RCW,RIGHTCROWD LIMITED,18/9/17,Software & Services,79345742
RD1,REGISTRY DIRECT LIMITED,1/11/17,Software & Services,5742720
RDC,REDCAPE HOTEL GROUP,30/11/18,Consumer Services,543912267
RDG,RESOURCE DEVELOPMENT GROUP LIMITED,19/5/11,Capital Goods,120835000
RDH,REDHILL EDUCATION LIMITED,21/9/10,Consumer Services,44237722
RDM,RED METAL LIMITED,27/10/03,Materials,33154885
RDN,RAIDEN RESOURCES LIMITED,12/3/87,Materials,32464679
RDS,REDSTONE RESOURCES LIMITED,3/8/06,Materials,9346988
RDY,READYTECH HOLDINGS LIMITED,17/4/19,Software & Services,257417436
REA,REA GROUP LTD,1/12/99,Media & Entertainment,21531142854
RED,RED 5 LIMITED,16/10/96,Materials,410606568
REE,RAREX LIMITED,11/7/07,Materials,35262800
REF,REVERSE CORP LIMITED,16/12/05,Telecommunication Services,N/A
REG,REGIS HEALTHCARE LIMITED,7/10/14,Health Care Equipment & Services,598553340
REH,REECE LIMITED,1/1/74,Capital Goods,14948073948
RES,RESOURCE GENERATION LIMITED,31/10/03,Energy,N/A
REX,REGIONAL EXPRESS HOLDINGS LIMITED,9/11/05,Transportation,133286794
REY,REY RESOURCES LIMITED,5/6/06,Energy,55101160
REZ,RESOURCES & ENERGY GROUP LIMITED,11/3/05,Materials,14245466
RF1,REGAL INVESTMENT FUND,17/6/19,Not Applic,458829422
RFF,RURAL FUNDS GROUP,14/2/14,Real Estate,890539457
RFG,RETAIL FOOD GROUP LIMITED,22/6/06,Consumer Services,184448282
RFR,RAFAELLA RESOURCES LTD.,26/7/18,Materials,16325030
RFT,RECTIFIER TECHNOLOGIES LTD,22/9/94,Capital Goods,38519617
RFX,REDFLOW LIMITED,14/12/10,Capital Goods,75724350
RGI,ROTO-GRO INTERNATIONAL LIMITED,10/2/17,Capital Goods,11469162
RGL,RIVERSGOLD LIMITED,10/10/17,Materials,14141477
RGS,REGENEUS LTD,19/9/13,"Pharmaceuticals, Biotechnology & Life Sciences",23068916
RHC,RAMSAY HEALTH CARE LIMITED,24/9/97,Health Care Equipment & Services,14442435586
RHI,RED HILL IRON LIMITED,14/2/06,Materials,65865964
RHP,RHIPE LIMITED,17/3/05,Software & Services,404299194
RHT,RESONANCE HEALTH LIMITED,23/10/87,Health Care Equipment & Services,78395432
RHY,RHYTHM BIOSCIENCES LIMITED,7/12/17,Health Care Equipment & Services,180942876
RIC,RIDLEY CORPORATION LIMITED,13/8/87,"Food, Beverage & Tobacco",351444473
RIE,RIEDEL RESOURCES LIMITED,31/1/11,Materials,14440606
RIM,RIMFIRE PACIFIC MINING NL,4/3/97,Materials,16256203
RIO,RIO TINTO LIMITED,19/9/62,Materials,48681294566
RKN,RECKON LIMITED,19/7/99,Software & Services,108763039
RLC,REEDY LAGOON CORPORATION LIMITED,22/6/07,Materials,7520419
RLG,ROOLIFE GROUP LTD,16/11/16,Media & Entertainment,19612593
RLT,RENERGEN LIMITED,6/6/19,Energy,200586506
RMC,RESIMAC GROUP LTD,19/3/01,Banks,947498350
RMD,RESMED INC,25/11/99,Health Care Equipment & Services,48646555246
RMG,RMG LIMITED,11/4/96,Materials,N/A
RMI,RESOURCE MINING CORPORATION LIMITED,14/2/85,Materials,5214305
RML,RESOLUTION MINERALS LTD,22/9/17,Materials,11639670
RMS,RAMELIUS RESOURCES LIMITED,31/3/03,Materials,1477441338
RMT,RMA ENERGY LIMITED,7/6/07,Materials,N/A
RMX,RED MOUNTAIN MINING LIMITED,1/9/11,Materials,11939814
RMXNC,RED MOUNTAIN MINING LIMITED,1/9/11,Materials,11939814
RMY,RMA GLOBAL LIMITED,5/7/18,Media & Entertainment,119839909
RND,RAND MINING LIMITED,15/8/85,Materials,84745182
RNE,RENU ENERGY LIMITED,12/9/02,Utilities,7567487
RNO,RHINOMED LIMITED,21/9/07,"Pharmaceuticals, Biotechnology & Life Sciences",54568963
RNT,RENT.COM.AU LIMITED,26/5/94,Media & Entertainment,51695050
RNU,RENASCOR RESOURCES LIMITED,15/12/10,Energy,125873681
RNX,RENEGADE EXPLORATION LIMITED,14/11/06,Materials,5277760
ROG,RED SKY ENERGY LIMITED.,23/5/07,Energy,37131378
ROO,ROOTS SUSTAINABLE AGRICULTURAL TECHNOLOGIES LTD,7/12/17,Capital Goods,6477407
RPG,RAPTIS GROUP LIMITED,17/7/86,Real Estate,1904591
RPM,RPM AUTOMOTIVE GROUP LIMITED,10/11/83,Automobiles & Components,40591663
RRL,REGIS RESOURCES LIMITED,19/2/87,Materials,2021277981
RSG,RESOLUTE MINING LIMITED,11/1/79,Materials,684413478
RSH,RESPIRI LIMITED,14/7/00,Health Care Equipment & Services,47707492
RTE,"RETECH TECHNOLOGY CO., LIMITED",22/6/17,Consumer Services,71038353
RTG,RTG MINING INC.,5/6/14,Materials,112245707
RTR,RUMBLE RESOURCES LIMITED,1/7/11,Materials,319362541
RUL,RPMGLOBAL HOLDINGS LIMITED,27/5/08,Software & Services,420066334
RVR,RED RIVER RESOURCES LIMITED,15/7/05,Materials,113910361
RVS,REVASUM INC.,4/12/18,Semiconductors & Semiconductor Equipment,39609698
RWC,RELIANCE WORLDWIDE CORPORATION LIMITED,29/4/16,Capital Goods,4155898464
RWD,REWARD MINERALS LTD,12/12/91,Materials,26352363
RXH,REWARDLE HOLDINGS LIMITED,7/10/14,Media & Entertainment,8421144
RXL,ROX RESOURCES LIMITED,27/4/04,Materials,61466969
RXM,REX MINERALS LIMITED,20/9/07,Materials,154147136
RYD,RYDER CAPITAL LIMITED,28/9/15,Not Applic,121122070
RZI,RAIZ INVEST LIMITED,21/6/18,Diversified Financials,137694772
S2R,S2 RESOURCES LTD,19/10/15,Materials,45659221
S32,SOUTH32 LIMITED,18/5/15,Materials,13836632518
S66,STAR COMBO PHARMA LIMITED,16/5/18,Household & Personal Products,39066616
SAN,SAGALIO ENERGY LIMITED,15/12/11,Energy,5525824
SAS,SKY AND SPACE COMPANY LTD,22/5/06,Telecommunication Services,N/A
SAU,SOUTHERN GOLD LIMITED,21/4/05,Materials,14933013
SB2,SALTER BROTHERS EMERGING COMPANIES LIMITED,16/6/21,Not Applic,91088324
SBM,ST BARBARA LIMITED,15/5/69,Materials,1401887102
SBR,SABRE RESOURCES LIMITED,17/12/87,Materials,6732255
SBW,SHEKEL BRAINWEIGH LTD,20/11/18,Software & Services,16849250
SCG,SCENTRE GROUP,25/6/14,Real Estate,13494983681
SCI,SILVER CITY MINERALS LIMITED,6/7/11,Materials,17954499
SCL,SCHROLE GROUP LTD,11/11/13,Software & Services,19800383
SCN,SCORPION MINERALS LIMITED,7/3/07,Materials,18123554
SCP,SHOPPING CENTRES AUSTRALASIA PROPERTY GROUP,26/11/12,Real Estate,2646052440
SCT,SCOUT SECURITY LIMITED,25/8/17,Consumer Services,10710646
SCU,STEMCELL UNITED LIMITED,13/6/00,"Pharmaceuticals, Biotechnology & Life Sciences",21909734
SDF,STEADFAST GROUP LIMITED,2/8/13,Insurance,3852062858
SDG,SUNLAND GROUP LIMITED,28/2/95,Real Estate,336797407
SDI,SDI LIMITED,7/11/85,Health Care Equipment & Services,104601666
SDV,SCIDEV LTD,2/5/02,Materials,142645718
SE1,SENSERA LIMITED,23/12/16,Semiconductors & Semiconductor Equipment,13278229
SEC,SPHERIA EMERGING COMPANIES LIMITED,5/12/17,Not Applic,140752481
SEG,SPORTS ENTERTAINMENT GROUP LIMITED,28/11/00,Media & Entertainment,58930769
SEK,SEEK LIMITED,19/4/05,Media & Entertainment,11402638628
SEN,SENETAS CORPORATION LIMITED,21/6/84,Technology Hardware & Equipment,60600354
SEQ,SEQUOIA FINANCIAL GROUP LTD,19/9/00,Diversified Financials,82849961
SER,STRATEGIC ENERGY RESOURCES LIMITED,15/8/91,Materials,11482549
SES,SECOS GROUP LTD,21/11/96,Materials,168809087
SFC,SCHAFFER CORPORATION LIMITED,1/1/74,Automobiles & Components,286950903
SFG,SEAFARMS GROUP LIMITED,14/6/90,"Food, Beverage & Tobacco",150445106
SFM,SANTA FE MINERALS LTD,7/10/11,Materials,5898322
SFR,SANDFIRE RESOURCES LIMITED,4/3/04,Materials,1203196498
SFX,SHEFFIELD RESOURCES LIMITED,15/12/10,Materials,114198071
SGC,SACGASCO LIMITED,11/10/05,Energy,22442186
SGF,SG FLEET GROUP LIMITED,4/3/14,Commercial & Professional Services,850553618
SGH,SLATER & GORDON LIMITED,21/5/07,Consumer Services,95974560
SGI,STEALTH GLOBAL HOLDINGS LTD,2/10/18,Capital Goods,10967000
SGLLV,RICEGROWERS LIMITED,8/4/19,"Food, Beverage & Tobacco",426560218
SGM,SIMS LIMITED,21/10/05,Materials,3207698066
SGP,STOCKLAND,19/2/87,Real Estate,10479683596
SGQ,ST GEORGE MINING LIMITED,16/11/10,Materials,43010938
SGR,THE STAR ENTERTAINMENT GROUP LIMITED,6/6/11,Consumer Services,3398690730
SHE,STONEHORSE ENERGY LIMITED,24/7/00,Energy,17046244
SHG,SINGULAR HEALTH GROUP LTD,12/2/21,Health Care Equipment & Services,29811671
SHH,SHREE MINERALS LIMITED,18/2/10,Materials,15948553
SHJ,SHINE JUSTICE LTD,15/5/13,Consumer Services,181058594
SHL,SONIC HEALTHCARE LIMITED,30/4/87,Health Care Equipment & Services,18529752927
SHM,SHRIRO HOLDINGS LIMITED,23/6/15,Consumer Durables & Apparel,109350625
SHN,SUNSHINE GOLD LIMITED,25/1/02,Materials,25348562
SHO,SPORTSHERO LIMITED,12/6/08,Media & Entertainment,13121069
SHP,SOUTH HARZ POTASH LTD,20/1/17,Materials,29686877
SHV,SELECT HARVESTS LIMITED,15/6/78,"Food, Beverage & Tobacco",877637901
SI6,SI6 METALS LIMITED,18/1/08,Materials,19505644
SIG,SIGMA HEALTHCARE LIMITED,30/10/02,Health Care Equipment & Services,651454996
SIH,SIHAYO GOLD LIMITED,31/3/88,Materials,40540076
SIL,SMILES INCLUSIVE LIMITED,27/4/18,Health Care Equipment & Services,N/A
SIO,SIMONDS GROUP LIMITED,17/11/14,Consumer Durables & Apparel,87024201
SIQ,SMARTGROUP CORPORATION LTD,2/7/14,Commercial & Professional Services,948148051
SIS,SIMBLE SOLUTIONS LIMITED,22/2/18,Software & Services,7693593
SIT,SITE GROUP INTERNATIONAL LIMITED,21/8/87,Consumer Services,7571206
SIV,SIV CAPITAL LIMITED,31/5/05,Capital Goods,11387696
SIX,SPRINTEX LIMITED,29/5/08,Automobiles & Components,15619907
SKC,SKYCITY ENTERTAINMENT GROUP LIMITED,29/3/99,Consumer Services,2409850513
SKF,SKYFII LTD,17/12/99,Software & Services,48225996
SKI,SPARK INFRASTRUCTURE GROUP,16/12/05,Utilities,4615529756
SKN,SKIN ELEMENTS LIMITED,6/1/17,Household & Personal Products,N/A
SKO,SERKO LIMITED,25/6/18,Software & Services,746490942
SKS,SKS TECHNOLOGIES GROUP LIMITED,1/1/74,Capital Goods,25916064
SKT,SKY NETWORK TELEVISION LIMITED.,4/7/05,Media & Entertainment,270766331
SKY,SKY METALS LIMITED,11/3/04,Materials,34199123
SLA,SILK LASER AUSTRALIA LIMITED,15/12/20,Health Care Equipment & Services,212760763
SLC,SUPERLOOP LIMITED,4/6/15,Telecommunication Services,435538703
SLH,SILK LOGISTICS HOLDINGS LIMITED,9/7/21,Transportation,174252513
SLK,SEALINK TRAVEL GROUP LIMITED,16/10/13,Consumer Services,1991799318
SLR,SILVER LAKE RESOURCES LIMITED,14/11/07,Materials,1622601205
SLX,SILEX SYSTEMS LIMITED,7/5/98,Semiconductors & Semiconductor Equipment,169311992
SLZ,SULTAN RESOURCES LTD,16/8/18,Materials,13559206
SM1,SYNLAIT MILK LIMITED,25/11/16,"Food, Beverage & Tobacco",808752146
SMG,SOON MINING LIMITED,21/3/16,Materials,N/A
SMI,SANTANA MINERALS LIMITED,31/5/13,Materials,11973427
SMN,STRUCTURAL MONITORING SYSTEMS PLC,16/8/04,Technology Hardware & Equipment,51157590
SMP,SMARTPAY HOLDINGS LIMITED,4/9/13,Software & Services,181045482
SMR,STANMORE RESOURCES LIMITED,9/12/09,Energy,183876312
SMX,SECURITY MATTERS LIMITED,15/10/18,Software & Services,54655655
SNC,SANDON CAPITAL INVESTMENTS LIMITED,23/12/13,Not Applic,110334445
SND,SAUNDERS INTERNATIONAL LIMITED,5/12/07,Capital Goods,83189546
SNG,SIREN GOLD LIMITED,7/10/20,Materials,20536011
SNL,SUPPLY NETWORK LIMITED,10/9/87,Retailing,324627891
SNS,SENSEN NETWORKS LIMITED,31/5/07,Software & Services,67360570
SNZ,SUMMERSET GROUP HOLDINGS LIMITED,18/7/13,Health Care Equipment & Services,2922575505
SO4,SALT LAKE POTASH LIMITED,3/11/06,Materials,272579692
SOL,WASHINGTON H SOUL PATTINSON & COMPANY LIMITED,21/1/03,Energy,8043682752
SOM,SOMNOMED LIMITED,27/8/04,Health Care Equipment & Services,199449949
SOP,SYNERTEC CORPORATION LIMITED,28/5/13,Commercial & Professional Services,28588845
SOR,STRATEGIC ELEMENTS LIMITED,11/8/11,Diversified Financials,104862571
SOV,SOVEREIGN CLOUD HOLDINGS LIMITED,14/12/20,Software & Services,59734238
SP3,SPECTUR LIMITED,1/8/17,Technology Hardware & Equipment,8504422
SPA,SPACETALK LTD,17/7/01,Media & Entertainment,31422475
SPK,SPARK NEW ZEALAND LIMITED,22/8/91,Telecommunication Services,8458076671
SPL,STARPHARMA HOLDINGS LIMITED,28/9/00,"Pharmaceuticals, Biotechnology & Life Sciences",552266115
SPN,SPARC TECHNOLOGIES LIMITED,3/7/86,Materials,23605272
SPQ,SUPERIOR RESOURCES LIMITED,12/11/07,Materials,16576029
SPT,SPLITIT PAYMENTS LTD,29/1/19,Software & Services,242420043
SPZ,SMART PARKING LIMITED,9/1/07,Technology Hardware & Equipment,78777536
SRG,SRG GLOBAL LIMITED,17/8/07,Capital Goods,242959046
SRH,SAFEROADS HOLDINGS LIMITED,15/12/05,Transportation,8054283
SRI,SIPA RESOURCES LIMITED,23/8/90,Materials,10771336
SRJ,SRJ TECHNOLOGIES GROUP PLC,18/9/20,Energy,21422766
SRK,STRIKE RESOURCES LIMITED,7/3/00,Materials,82350000
SRL,SUNRISE ENERGY METALS LIMITED,9/11/07,Commercial & Professional Services,167500862
SRN,SUREFIRE RESOURCES NL,11/6/99,Materials,15311946
SRV,SERVCORP LIMITED,6/12/99,Real Estate,324339925
SRY,STORY-I LIMITED,20/1/15,Retailing,N/A
SRZ,STELLAR RESOURCES LIMITED,28/4/05,Materials,21549277
SSG,SHAVER SHOP GROUP LIMITED,1/7/16,Retailing,131388744
SSL,SIETEL LIMITED,1/1/74,Real Estate,64700430
SSM,SERVICE STREAM LIMITED,9/12/04,Capital Goods,412445215
SSR,SSR MINING INC.,17/9/20,Materials,4704499313
SST,STEAMSHIPS TRADING COMPANY LIMITED,30/6/62,Capital Goods,299849652
ST1,SPIRIT TECHNOLOGY SOLUTIONS LTD,22/10/99,Telecommunication Services,187533963
STA,STRANDLINE RESOURCES LIMITED,17/5/00,Materials,234398335
STG,STRAKER TRANSLATIONS LIMITED,22/10/18,Media & Entertainment,121490276
STK,STRICKLAND METALS LIMITED,6/4/06,Materials,34898769
STM,SUNSTONE METALS LTD,22/3/07,Materials,39779778
STN,SATURN METALS LIMITED,9/3/18,Materials,51239602
STO,SANTOS LIMITED,1/10/54,Energy,14706446249
STX,STRIKE ENERGY LIMITED,5/8/04,Energy,614915520
SUD,SUDA PHARMACEUTICALS LTD,24/1/02,"Pharmaceuticals, Biotechnology & Life Sciences",31253299
SUH,SOUTHERN HEMISPHERE MINING LIMITED,5/1/10,Materials,11977548
SUL,SUPER RETAIL GROUP LIMITED,6/7/04,Retailing,2827347780
SUN,SUNCORP GROUP LIMITED,7/7/88,Insurance,14612990428
SUP,SUPERIOR LAKE RESOURCES LIMITED,18/12/09,Materials,19807339
SUV,SUVO STRATEGIC MINERALS LIMITED,17/5/11,Materials,90753883
SVH,SILVER HERITAGE GROUP LIMITED,29/8/16,Consumer Services,N/A
SVL,SILVER MINES LIMITED,19/1/07,Materials,312910031
SVM,SOVEREIGN METALS LIMITED,22/1/07,Materials,256930064
SVS,SUNVEST CORPORATION LIMITED,20/8/87,Not Applic,6930644
SVW,SEVEN GROUP HOLDINGS LIMITED,30/4/10,Capital Goods,8427645642
SVY,STAVELY MINERALS LIMITED,7/5/14,Materials,110908617
SW1,SWIFT MEDIA LIMITED,30/6/94,Media & Entertainment,15044392
SWF,SELFWEALTH LIMITED,23/11/17,Diversified Financials,88303905
SWK,SWICK MINING SERVICES LTD,1/11/06,Materials,57756828
SWM,SEVEN WEST MEDIA LIMITED,9/1/92,Media & Entertainment,699805637
SWP,SWOOP HOLDINGS LIMITED,6/10/88,Telecommunication Services,189719722
SXE,SOUTHERN CROSS ELECTRICAL ENGINEERING LTD,28/11/07,Capital Goods,127745803
SXL,SOUTHERN CROSS MEDIA GROUP LIMITED,17/11/05,Media & Entertainment,552207316
SXY,SENEX ENERGY LIMITED,15/8/84,Energy,630724744
SYA,SAYONA MINING LIMITED,30/3/04,Materials,402140339
SYD,SYDNEY AIRPORT,2/4/02,Transportation,21076848976
SYR,SYRAH RESOURCES LIMITED,11/9/07,Materials,585398481
SYT,SYNTONIC LIMITED,12/6/07,Software & Services,N/A
SZL,SEZZLE INC.,30/7/19,Software & Services,1657939359
T3D,333D LIMITED,27/12/06,Commercial & Professional Services,4186133
TAH,TABCORP HOLDINGS LIMITED,15/8/94,Consumer Services,10797061269
TAM,TANAMI GOLD NL,11/12/86,Materials,88132278
TAR,TARUGA MINERALS LIMITED,7/2/12,Materials,24876565
TAS,TASMAN RESOURCES LTD,18/12/01,Materials,20134568
