Code,Company,Market Cap,Weight(%)
QUS,Betashares Ftse Rafi U.S. 1000 ETF,"47,482,900",0.07
RARI,Russell Investments Australian Responsible Investment ETF,"225,040,000",0.32
RBTZ,Betashares Global Robotics and Artificial Intelligence ETF,"34,950,400",0.05
RCB,Russell Investments Australian Select Corporate Bond ETF,"226,059,000",0.32
RDV,Russell Investments High Dividend Australian Shares ETF,"232,339,000",0.33
REIT,Vaneck Vectors Ftse International Property (Hedged) ETF,"32,703,200",0.05
RENT,AMP Capital Global Prop Sec Fund (Unhedged) (Managed Fund),"22,902,100",0.03
RGB,Russell Investments Australian Government Bond ETF,"81,323,500",0.12
RINC,Betashares Legg Mason Real Income Fund (Managed Fund),"42,947,500",0.06
ROBO,ETFs Robo Global Robotics and Automation ETF,"124,332,000",0.18
RSM,Russell Investments Australian Semi-Government Bond ETF,"61,543,900",0.09
SFY,SPDR S&P/ASX 50 Fund,"587,550,000",0.84
SLF,SPDR S&P/ASX 200 Listed Property Fund,"495,302,000",0.71
SMLL,Betashares Aust Small Companies Select Fund (Managed Fund),"33,693,300",0.05
SPY,SPDR S&P 500 ETF Trust,"40,093,700",0.06
SSO,SPDR S&P/ASX Small Ordinaries Fund,"21,442,800",0.03
STW,SPDR S&P/ASX 200 Fund,"3,661,200,000",5.26
SWTZ,Switzer Dividend Growth Fund (Managed Fund),"75,359,100",0.11
SYI,SPDR MSCI Australia Select High Dividend Yield Fund,"158,590,000",0.23
TECH,ETFs Morningstar Global Technology ETF,"139,973,000",0.2
UBA,Ubs IQ MSCI Australia Ethical ETF,"141,521,000",0.2
UBE,Ubs IQ MSCI Europe Ethical ETF,"7,141,020",0.01
UBJ,Ubs IQ MSCI Japan Ethical ETF,"3,090,730",0
UBP,Ubs IQ MSCI Asia APEX 50 Ethical ETF,"6,509,170",0.01
UBU,Ubs IQ MSCI Usa Ethical ETF,"3,748,180",0.01
UBW,Ubs IQ MSCI World Ex Australia Ethical ETF,"32,951,600",0.05
UMAX,Betashares S&P 500 Yield Maximiser Fund (Managed Fund),"85,884,600",0.12
USD,Betashares U.S. Dollar ETF,"309,438,000",0.44
VACF,Vanguard Australian Corp Fixed Interest INDEX ETF,"324,102,000",0.47
VAE,Vanguard Ftse Asia Ex Japan Shares INDEX ETF,"173,841,000",0.25
VAF,Vanguard Australian Fixed Interest INDEX ETF,"1,370,370,000",1.97
VAP,Vanguard Australian Property Securities INDEX ETF,"1,465,430,000",2.11
VAS,Vanguard Australian Shares INDEX ETF,"5,073,860,000",7.29
VBLD,Vanguard Global Infrastructure INDEX ETF,"90,986,800",0.13
VBND,Vanguard Global Aggregate Bond INDEX (Hedged) ETF,"147,323,000",0.21
VCF,Vanguard International Credit Securities INDEX (Hedged) ETF,"207,462,000",0.3
VDBA,Vanguard Diversified Balanced INDEX ETF,"243,763,000",0.35
VDCO,Vanguard Diversified Conservative INDEX ETF,"106,086,000",0.15
VDGR,Vanguard Diversified Growth INDEX ETF,"239,209,000",0.34
VDHG,Vanguard Diversified High Growth INDEX ETF,"366,969,000",0.53
VEFI,Vanguard Ethically Conscious GLB Agg Bond INDEX (Hedged) ETF,"16,716,700",0.02
VEQ,Vanguard Ftse Europe Shares ETF,"172,314,000",0.25
VESG,Vanguard Ethically Conscious International Shares INDEX ETF,"107,396,000",0.15
VEU,Vanguard All-World Ex-US Shares INDEX ETF,"1,533,930,000",2.2
VGAD,Vanguard MSCI INDEX International Shares (Hedged) ETF,"935,091,000",1.34
VGB,Vanguard Australian Government Bond INDEX ETF,"484,979,000",0.7
VGE,Vanguard Ftse Emerging Markets Shares ETF,"332,643,000",0.48
VGMF,Vanguard Global Multi-Factor Active ETF (Managed Fund),"16,003,700",0.02
VGS,Vanguard MSCI INDEX International Shares ETF,"2,079,220,000",2.99
VHY,Vanguard Australian Shares High Yield ETF,"1,263,320,000",1.82
VIF,Vanguard International Fixed Interest INDEX (Hedged) ETF,"484,114,000",0.7
VISM,Vanguard MSCI International Small Companies INDEX ETF,"33,452,000",0.05
VLC,Vanguard MSCI Australian Large Companies INDEX ETF,"94,795,200",0.14
VMIN,Vanguard Global Minimum Volatility Active ETF (Managed Fund),"11,811,700",0.02
VSO,Vanguard MSCI Australian Small Companies INDEX ETF,"359,005,000",0.52
VTS,Vanguard US Total Market Shares INDEX ETF,"1,818,380,000",2.61
VVLU,Vanguard Global Value Equity Active ETF (Managed Fund),"20,814,300",0.03
WCMQ,WCM Quality Global Growth Fund (Quoted Managed Fund),"108,278,000",0.16
WDIV,SPDR S&P Global Dividend Fund,"245,949,000",0.35
WDMF,Ishares Edge MSCI World Multifactor ETF,"241,005,000",0.35
WEMG,SPDR S&P Emerging Markets Fund,"19,962,800",0.03
WRLD,Betashares Managed Risk Global Share Fund (Managed Fund),"58,414,500",0.08
WVOL,Ishares Edge MSCI World Minimum Volatility ETF,"116,361,000",0.17
WXHG,SPDR S&P World Ex Australia (Hedged) Fund,"93,577,100",0.13
WXOZ,SPDR S&P World Ex Australia Fund,"186,835,000",0.27
XARO,Activex Ardea Real Outcome Bond Fund (Managed Fund),"168,611,000",0.24
YANK,Betashares Strong U.S. Dollar Fund (Hedge Fund),"10,200,000",0.01
YMAX,Betashares Aus Top 20 Equity Yield MAX Fund (Managed Fund),"242,619,000",0.35
ZUSD,ETFs Enhanced Usd Cash ETF,"11,702,200",0.02
ZYAU,ETFs S&P/ASX 300 High Yield Plus ETF,"116,560,000",0.17
ZYUS,ETFs S&P 500 High Yield Low Volatility ETF,"70,808,100",0.1
